CHR	POS	END	MEDIAN
chr1	1063201	1063203	1.48229
chr1	1163040	1163042	1.5078
chr1	1714931	1714933	0.76918
chr1	1787320	1787447	1.08076
chr1	1789042	1789279	0.86596
chr1	1790384	1790606	1.16539
chr1	1793234	1793321	1.12535
chr1	1804408	1804591	1.13931
chr1	1806464	1806548	1.21129
chr1	1815745	1815872	1.14035
chr1	1817826	1817885	1.24377
chr1	1825386	1825463	1.08045
chr1	2181236	2181238	1.20152
chr1	2883788	2883790	0.79883
chr1	3468691	3468693	1.2894
chr1	3674578	3674580	1.44944
chr1	4061549	4061551	1.57047
chr1	4728825	4728827	1.4716
chr1	5091415	5091417	0.74507
chr1	5663315	5663317	1.37299
chr1	5711081	5711083	0.94941
chr1	5821691	5821693	1.47612
chr1	5831322	5831324	1.20212
chr1	5836946	5836948	1.19758
chr1	5858895	5858897	1.55843
chr1	5877107	5877109	1.49623
chr1	5918449	5918451	0.66249
chr1	5931140	5931142	0.69808
chr1	5982873	5982875	0.89938
chr1	5993569	5993571	1.02762
chr1	6052592	6052594	0.60447
chr1	6072008	6072010	1.30016
chr1	6081588	6081590	1.57469
chr1	6090576	6090578	0.99087
chr1	6124031	6124033	0.81161
chr1	6186661	6186826	0.53406
chr1	6192919	6193064	1.0671
chr1	6197641	6197766	1.05033
chr1	6199551	6199583	0.30453
chr1	6251955	6251957	0.76052
chr1	6254418	6254420	1.73296
chr1	6423975	6423977	1.12271
chr1	6651880	6651882	0.58522
chr1	6660929	6660931	1.01956
chr1	6766510	6766512	1.20405
chr1	6963832	6963834	0.88401
chr1	7882631	7882633	1.25572
chr1	7954387	7954389	0.8649
chr1	8441725	8441727	0.93869
chr1	9112376	9112378	1.2293
chr1	9651285	9651287	1.01689
chr1	9710445	9710606	1.41062
chr1	9715530	9715779	1.14649
chr1	9715838	9716088	0.85077
chr1	9716429	9716629	1.02227
chr1	9716948	9717118	0.99333
chr1	9717526	9717636	1.23549
chr1	9718683	9718925	0.77743
chr1	9719910	9720027	1.08292
chr1	9720101	9720252	1.27171
chr1	9720600	9720671	0.29994
chr1	9720731	9720919	0.77402
chr1	9721116	9721258	0.62506
chr1	9721433	9721597	1.16006
chr1	9721750	9721870	1.01394
chr1	9721964	9722163	1.46751
chr1	9722233	9722366	1.08043
chr1	9722517	9722616	1.24735
chr1	9723114	9723302	1.19971
chr1	9723958	9724102	1.09629
chr1	9724265	9724431	0.89548
chr1	9724793	9724946	1.25108
chr1	9726898	9727056	1.28257
chr1	10191023	10191025	0.4254
chr1	10848354	10848356	0.78094
chr1	11009908	11009910	1.16455
chr1	11107474	11107510	1.22147
chr1	11108170	11108296	1.07516
chr1	11109279	11109380	1.28435
chr1	11109638	11109739	1.1575
chr1	11112841	11112927	1.27045
chr1	11114307	11114463	1.13771
chr1	11114802	11114897	1.03013
chr1	11115385	11115478	1.15179
chr1	11116993	11117096	1.06725
chr1	11121235	11121378	1.10104
chr1	11121968	11122136	1.02808
chr1	11124487	11124643	1.40943
chr1	11126611	11126806	1.37815
chr1	11126999	11127154	1.44937
chr1	11127613	11127816	1.55149
chr1	11127993	11128136	1.44878
chr1	11128443	11128562	1.3418
chr1	11128844	11128961	1.25337
chr1	11129727	11129848	0.94106
chr1	11130518	11130787	1.27914
chr1	11133069	11133207	1.21864
chr1	11134340	11134476	1.37039
chr1	11139293	11139445	1.12148
chr1	11139522	11139668	1.09987
chr1	11144637	11144765	0.85705
chr1	11144957	11145055	1.21707
chr1	11146665	11146801	1.34234
chr1	11150115	11150236	1.16313
chr1	11157141	11157301	1.28265
chr1	11167431	11167527	0.77193
chr1	11199247	11199413	1.32296
chr1	11199530	11199713	1.41041
chr1	11204550	11204713	1.40063
chr1	11209301	11209468	1.40542
chr1	11210803	11210916	1.13304
chr1	11212301	11212484	1.02786
chr1	11212785	11212918	1.36736
chr1	11213388	11213576	1.25764
chr1	11216137	11216244	1.09786
chr1	11228657	11228928	1.15867
chr1	11230914	11231064	1.41858
chr1	11231289	11231444	1.19046
chr1	11232425	11232538	1.1134
